iter	Logloss
0	0.6765818741
1	0.6614177429
2	0.6475123787
3	0.6347611274
4	0.6231372804
5	0.612525678
6	0.6028030486
7	0.5939631449
8	0.5858782788
9	0.5784543154
10	0.5716893346
11	0.5654884139
12	0.5598254439
13	0.5546528508
14	0.5498694649
15	0.5455142755
16	0.541486046
17	0.5378349629
18	0.53449798
19	0.5314231869
20	0.5285976311
21	0.5259820459
22	0.5235827566
23	0.5214059153
24	0.519397089
25	0.5175427885
26	0.515874279
27	0.5143120724
28	0.5129235905
29	0.5116494905
30	0.5104655698
31	0.5093540267
32	0.5083593165
33	0.5074258251
34	0.5065752018
35	0.5058022369
36	0.5050493878
37	0.5043831258
38	0.5037649769
39	0.5032128632
40	0.5027188361
41	0.5022303204
42	0.5017801649
43	0.5013796327
44	0.5009962297
45	0.5006461847
46	0.5003213054
47	0.5000066042
48	0.4997526241
49	0.4994888064
50	0.4992297587
51	0.4990296731
52	0.4988544708
53	0.4986715917
54	0.4984908101
55	0.4983534377
56	0.4981788846
57	0.498039294
58	0.4978923178
59	0.4977604851
60	0.4976266708
61	0.4975029334
62	0.497403995
63	0.4972935524
64	0.4972069214
65	0.4971045126
66	0.4970237502
67	0.4969666234
68	0.4968590891
69	0.4967830846
70	0.4967217708
71	0.4966510847
72	0.4965599729
73	0.4964767722
74	0.4964235716
75	0.4963837988
76	0.4963249379
77	0.4963022782
78	0.4962819273
79	0.4961685488
80	0.496123085
81	0.4960538185
82	0.4959909828
83	0.4959304456
84	0.4958692046
85	0.4958151364
86	0.4957997914
87	0.495719962
88	0.4956834793
89	0.4956138537
90	0.4955761864
91	0.4955254341
92	0.4954674377
93	0.4954309754
94	0.4953764769
95	0.4953366248
96	0.4952946392
97	0.4952413031
98	0.4952009788
99	0.4951536638
100	0.4951211505
101	0.4950596751
102	0.4950564966
103	0.4950544477
104	0.4949925185
105	0.4949508216
106	0.4949109841
107	0.4948821121
108	0.4948443049
109	0.4947894039
110	0.4947457425
111	0.4947237519
112	0.4946817462
113	0.4946468721
114	0.4946164072
115	0.4945749319
116	0.4945430417
117	0.4945108566
118	0.4944715352
119	0.4944502734
120	0.494389983
121	0.4943572342
122	0.4942954362
123	0.4942488981
124	0.4942249643
125	0.4941969571
126	0.4941440116
127	0.4941150814
128	0.4940797893
129	0.4940478069
130	0.4940127132
131	0.4939751221
132	0.493932549
133	0.4939062541
134	0.4938833074
135	0.4938433278
136	0.4938432631
137	0.4937946929
138	0.4937517653
139	0.4937316591
140	0.4936782135
141	0.4936408644
142	0.4936133356
143	0.4935975732
144	0.4935479818
145	0.4935126328
146	0.4934849292
147	0.4934427473
