iter	Passed	Remaining
0	9	9335
1	18	9371
2	27	9069
3	36	9102
4	47	9547
5	59	9787
6	67	9534
7	76	9433
8	87	9588
9	97	9669
10	108	9787
11	118	9777
12	128	9725
13	136	9642
14	146	9645
15	153	9422
16	161	9315
17	171	9352
18	180	9315
19	190	9337
20	199	9319
21	210	9348
22	220	9356
23	227	9246
24	235	9178
25	245	9202
26	253	9138
27	261	9081
28	267	8956
29	274	8874
30	283	8870
31	292	8836
32	299	8789
33	307	8729
34	317	8742
35	325	8728
36	335	8736
37	345	8750
38	354	8743
39	364	8744
40	371	8684
41	379	8665
42	388	8648
43	397	8641
44	405	8611
45	414	8598
46	421	8554
47	430	8536
48	439	8520
49	449	8536
50	460	8576
51	469	8552
52	476	8507
53	485	8510
54	495	8520
55	501	8459
56	511	8469
57	521	8463
58	531	8477
59	540	8465
60	549	8459
61	559	8472
62	568	8458
63	579	8474
64	588	8467
65	599	8481
66	608	8478
67	616	8448
68	625	8444
69	635	8437
70	646	8453
71	657	8475
72	665	8453
73	676	8466
74	685	8453
75	695	8459
76	705	8462
77	712	8419
78	719	8387
79	729	8388
80	739	8391
81	747	8370
82	757	8374
83	766	8362
84	775	8343
85	783	8325
86	790	8294
87	801	8305
88	811	8308
89	822	8320
90	832	8314
91	848	8377
92	860	8389
93	870	8385
94	878	8364
95	890	8383
96	899	8371
97	908	8361
98	918	8356
99	926	8335
100	937	8340
101	945	8324
102	953	8300
103	957	8249
104	967	8247
105	975	8228
106	985	8226
107	995	8219
108	1003	8203
109	1014	8208
110	1026	8218
111	1036	8216
112	1046	8211
113	1058	8227
114	1072	8252
115	1085	8274
116	1096	8273
117	1110	8299
118	1121	8303
119	1134	8319
120	1147	8333
121	1156	8321
122	1168	8330
123	1178	8325
124	1188	8321
125	1198	8310
126	1207	8297
127	1217	8293
128	1228	8293
129	1236	8278
130	1248	8284
131	1258	8272
132	1268	8269
133	1283	8294
134	1294	8292
135	1301	8269
136	1306	8228
137	1314	8207
138	1323	8198
139	1331	8179
140	1341	8171
141	1348	8149
142	1358	8143
143	1368	8132
144	1377	8124
145	1387	8118
146	1396	8102
147	1406	8094
148	1416	8092
149	1427	8086
150	1437	8082
151	1445	8065
152	1454	8053
153	1463	8041
154	1472	8029
155	1480	8008
156	1489	7995
157	1496	7976
158	1506	7970
159	1515	7953
160	1525	7949
161	1535	7942
